run_id,gain,psf_sigma_x,psf_sigma_y,psf_theta,enf,optical_bg_lipid,lipid_brightness,spot_density
repeat_049,19.513929739469596,1.7317028933672234,1.8811427025003853,-36.98148636897943,1.7289148892711583,1.959806546320257,11952.540390443677,779.415592796819
repeat_050,30.639492571821922,2.3256325505045705,1.828577397426284,23.107080662241643,1.266202006426236,1.3240615703685876,14345.908531130914,596.5206450007427
repeat_051,30.767534775008745,1.7281617791439825,2.586129990913672,3.938122643186178,1.787264577352323,1.2743634420949195,14670.597874784778,563.3168740648402
repeat_052,14.955798927735152,1.7036701138612613,2.6493634712909158,-2.314241812195574,2.454580559451145,2.5420057092252883,14870.573419724587,604.4723919989628
repeat_053,16.264195540967513,1.8521787877404532,2.045487013512714,39.111169271680836,2.4480668995620167,2.395387542526933,12005.876169159526,777.4256669903695
repeat_054,21.76215375537649,1.677061565495039,2.4483703400151278,12.221737737090713,1.6233461013117345,1.8054943641053884,14766.888771025018,565.1583404122621
repeat_055,16.71488818399772,2.036638100924529,2.2215510114290367,35.76906379128331,2.1345719697552257,2.2849726858019177,14837.364156939762,604.5239431176425
repeat_056,7.433881921323257,1.997501512213573,1.875431340310664,-4.1504320356323205,2.4973643454867,6.663965987321943,13653.742476159623,565.1552414930582
repeat_057,21.984511661760944,2.36767783149482,2.005636672363133,-15.677848059337446,2.0993954021064742,1.358135977129939,14260.00747190487,654.753204035774
repeat_058,17.256652676581574,2.1263253858394737,1.9269401674105586,11.89426400672086,2.313629612156193,1.56355920778735,12223.97389578761,755.3389841097355
repeat_059,14.614752794806641,2.0442920026407507,1.9962684789512686,-10.69507867578177,2.3058485951093535,2.9419525507823208,13398.30535169443,626.5524484628703
repeat_060,31.336959928085747,2.0792710395387113,2.6778881668773065,-28.4234116542233,1.5676445489616524,1.15310527998344,18233.774679708702,480.57932693266997
repeat_061,14.761905477873926,1.773568986238054,2.6203365519788413,14.196254611615718,2.40238636063346,2.5938447748911817,14072.747339613827,621.7889153681889
