run_id,status,lipid_brightness,psf_sigma_x,psf_sigma_y,psf_theta,gain,enf,optical_bg_lipid,spot_density,training_discrepancy,validation_discrepancy,duration_sec,pid
repeat_053,ok,12005.876169159526,1.8521787877404532,2.045487013512714,39.111169271680836,16.264195540967513,2.4480668995620167,2.395387542526933,777.4256669903695,0.1462096837131821,0.1208159040327485,,
repeat_054,ok,14766.888771025018,1.677061565495039,2.4483703400151278,12.221737737090713,21.76215375537649,1.6233461013117345,1.8054943641053884,565.1583404122621,0.13892841075363221,0.14839497116574216,,
repeat_055,ok,14837.364156939762,2.036638100924529,2.2215510114290367,35.76906379128331,16.71488818399772,2.1345719697552257,2.2849726858019177,604.5239431176425,0.1720431239405323,0.16171667809895532,,
repeat_056,ok,13653.742476159623,1.997501512213573,1.875431340310664,-4.1504320356323205,7.433881921323257,2.4973643454867,6.663965987321943,565.1552414930582,0.23590951696395554,0.3272455111879561,,
repeat_057,ok,14260.00747190487,2.36767783149482,2.005636672363133,-15.677848059337446,21.984511661760944,2.0993954021064742,1.358135977129939,654.753204035774,0.14008115958581008,0.16281226166232074,,
repeat_058,ok,12223.97389578761,2.1263253858394737,1.9269401674105586,11.89426400672086,17.256652676581574,2.313629612156193,1.56355920778735,755.3389841097355,0.132393789687819,0.17754774168630785,,
repeat_059,ok,13398.30535169443,2.0442920026407507,1.9962684789512686,-10.69507867578177,14.614752794806641,2.3058485951093535,2.9419525507823208,626.5524484628703,0.160950142809189,0.31367238082254234,,
repeat_060,ok,18233.774679708702,2.0792710395387113,2.6778881668773065,-28.4234116542233,31.336959928085747,1.5676445489616524,1.15310527998344,480.57932693266997,0.1216449339346527,0.25353494991025965,,
repeat_061,ok,14072.747339613827,1.773568986238054,2.6203365519788413,14.196254611615718,14.761905477873926,2.40238636063346,2.5938447748911817,621.7889153681889,0.08473679717269189,0.09372159570926678,,
repeat_062,ok,18750.334319408976,2.2575954416143578,2.3808033098653336,-40.437675657851216,27.940340565940893,1.5842417027668951,1.5314897286889517,429.66290276623505,0.1424182214387194,0.30061268765856874,,
repeat_063,ok,11097.795409907803,1.8170610493131987,1.8273550379437207,-43.26562705645474,16.037746681701233,1.9525392412349816,2.4469948552892564,736.3907375806242,0.17608762409035142,0.15443370242466323,,
